Employee_ID,Response_Date,Vibe_Score
EMP0454,01-01-2023,3
EMP0071,02-01-2023,1
EMP0096,03-01-2023,4
EMP0206,04-01-2023,5
EMP0074,05-01-2023,3
EMP0215,06-01-2023,3
EMP0128,07-01-2023,5
EMP0201,08-01-2023,3
EMP0043,09-01-2023,3
EMP0317,10-01-2023,4
EMP0467,11-01-2023,2
EMP0055,12-01-2023,3
EMP0320,13-01-2023,1
EMP0210,14-01-2023,4
EMP0027,15-01-2023,5
EMP0069,16-01-2023,4
EMP0332,17-01-2023,1
EMP0172,18-01-2023,5
EMP0019,19-01-2023,3
EMP0390,20-01-2023,4
EMP0478,21-01-2023,5
EMP0373,22-01-2023,3
EMP0343,23-01-2023,3
EMP0092,24-01-2023,5
EMP0045,25-01-2023,4
EMP0423,26-01-2023,5
EMP0430,27-01-2023,4
EMP0084,28-01-2023,4
EMP0002,29-01-2023,1
EMP0146,30-01-2023,1
EMP0387,31-01-2023,1
EMP0356,01-02-2023,1
EMP0139,02-02-2023,3
EMP0449,03-02-2023,1
EMP0187,04-02-2023,3
EMP0167,05-02-2023,5
EMP0322,06-02-2023,3
EMP0067,07-02-2023,5
EMP0449,08-02-2023,5
EMP0287,09-02-2023,3
EMP0203,10-02-2023,5
EMP0109,11-02-2023,3
EMP0130,12-02-2023,4
EMP0409,13-02-2023,5
EMP0144,14-02-2023,4
EMP0110,15-02-2023,4
EMP0323,16-02-2023,1
EMP0463,17-02-2023,2
EMP0465,18-02-2023,2
EMP0056,19-02-2023,1
EMP0188,20-02-2023,2
EMP0289,21-02-2023,5
EMP0081,22-02-2023,5
EMP0265,23-02-2023,5
EMP0375,24-02-2023,5
EMP0286,25-02-2023,5
EMP0202,26-02-2023,5
EMP0281,27-02-2023,1
EMP0102,28-02-2023,2
EMP0440,01-03-2023,5
EMP0023,02-03-2023,4
EMP0468,03-03-2023,5
EMP0380,04-03-2023,3
EMP0396,05-03-2023,4
EMP0306,06-03-2023,1
EMP0279,07-03-2023,5
EMP0283,08-03-2023,2
EMP0296,09-03-2023,2
EMP0124,10-03-2023,5
EMP0028,11-03-2023,2
EMP0220,12-03-2023,4
EMP0416,13-03-2023,5
EMP0464,14-03-2023,5
EMP0255,15-03-2023,3
EMP0317,16-03-2023,5
EMP0440,17-03-2023,4
EMP0048,18-03-2023,5
EMP0391,19-03-2023,3
EMP0466,20-03-2023,2
EMP0257,21-03-2023,2
EMP0122,22-03-2023,1
EMP0452,23-03-2023,1
EMP0392,24-03-2023,2
EMP0266,25-03-2023,5
EMP0188,26-03-2023,4
EMP0385,27-03-2023,5
EMP0232,28-03-2023,1
EMP0363,29-03-2023,5
EMP0455,30-03-2023,1
EMP0084,31-03-2023,4
EMP0118,01-04-2023,5
EMP0183,02-04-2023,5
EMP0014,03-04-2023,2
EMP0160,04-04-2023,5
EMP0413,05-04-2023,5
EMP0200,06-04-2023,3
EMP0162,07-04-2023,3
EMP0244,08-04-2023,4
EMP0402,09-04-2023,2
EMP0418,10-04-2023,4
EMP0228,11-04-2023,5
EMP0340,12-04-2023,4
EMP0417,13-04-2023,2
EMP0125,14-04-2023,5
EMP0338,15-04-2023,5
EMP0428,16-04-2023,3
EMP0285,17-04-2023,2
EMP0048,18-04-2023,2
EMP0466,19-04-2023,2
EMP0067,20-04-2023,2
EMP0463,21-04-2023,4
EMP0087,22-04-2023,2
EMP0445,23-04-2023,5
EMP0355,24-04-2023,3
EMP0137,25-04-2023,5
EMP0036,26-04-2023,5
EMP0153,27-04-2023,5
EMP0005,28-04-2023,5
EMP0489,29-04-2023,5
EMP0377,30-04-2023,2
EMP0444,01-05-2023,5
EMP0261,02-05-2023,1
EMP0425,03-05-2023,5
EMP0045,04-05-2023,2
EMP0173,05-05-2023,3
EMP0090,06-05-2023,4
EMP0063,07-05-2023,5
EMP0471,08-05-2023,5
EMP0153,09-05-2023,3
EMP0446,10-05-2023,5
EMP0479,11-05-2023,4
EMP0439,12-05-2023,4
EMP0356,13-05-2023,5
EMP0047,14-05-2023,1
EMP0353,15-05-2023,5
EMP0059,16-05-2023,2
EMP0193,17-05-2023,5
EMP0235,18-05-2023,2
EMP0348,19-05-2023,1
EMP0094,20-05-2023,2
EMP0487,21-05-2023,4
EMP0114,22-05-2023,2
EMP0179,23-05-2023,4
EMP0396,24-05-2023,4
EMP0166,25-05-2023,3
EMP0055,26-05-2023,5
EMP0341,27-05-2023,3
EMP0455,28-05-2023,4
EMP0431,29-05-2023,5
EMP0238,30-05-2023,3
EMP0162,31-05-2023,4
EMP0426,01-06-2023,4
EMP0016,02-06-2023,3
EMP0211,03-06-2023,4
EMP0277,04-06-2023,5
EMP0188,05-06-2023,1
EMP0084,06-06-2023,5
EMP0292,07-06-2023,5
EMP0280,08-06-2023,5
EMP0191,09-06-2023,1
EMP0009,10-06-2023,4
EMP0353,11-06-2023,3
EMP0248,12-06-2023,2
EMP0451,13-06-2023,3
EMP0202,14-06-2023,2
EMP0111,15-06-2023,1
EMP0326,16-06-2023,4
EMP0155,17-06-2023,4
EMP0133,18-06-2023,2
EMP0194,19-06-2023,5
EMP0392,20-06-2023,5
EMP0389,21-06-2023,4
EMP0111,22-06-2023,2
EMP0225,23-06-2023,5
EMP0293,24-06-2023,3
EMP0402,25-06-2023,5
EMP0122,26-06-2023,1
EMP0201,27-06-2023,3
EMP0446,28-06-2023,5
EMP0443,29-06-2023,5
EMP0179,30-06-2023,5
EMP0321,01-07-2023,5
EMP0351,02-07-2023,1
EMP0440,03-07-2023,2
EMP0299,04-07-2023,3
EMP0105,05-07-2023,5
EMP0286,06-07-2023,2
EMP0424,07-07-2023,1
EMP0263,08-07-2023,3
EMP0194,09-07-2023,5
EMP0046,10-07-2023,4
EMP0058,11-07-2023,4
EMP0478,12-07-2023,5
EMP0034,13-07-2023,5
EMP0148,14-07-2023,5
EMP0479,15-07-2023,1
EMP0359,16-07-2023,3
EMP0016,17-07-2023,4
EMP0414,18-07-2023,4
EMP0451,19-07-2023,5
EMP0180,20-07-2023,5
EMP0395,21-07-2023,5
EMP0416,22-07-2023,1
EMP0334,23-07-2023,5
EMP0306,24-07-2023,4
EMP0072,25-07-2023,1
EMP0188,26-07-2023,5
EMP0316,27-07-2023,5
EMP0044,28-07-2023,5
EMP0244,29-07-2023,2
EMP0385,30-07-2023,2
EMP0179,31-07-2023,2
EMP0157,01-08-2023,1
EMP0251,02-08-2023,2
EMP0170,03-08-2023,4
EMP0251,04-08-2023,3
EMP0216,05-08-2023,5
EMP0453,06-08-2023,5
EMP0272,07-08-2023,5
EMP0301,08-08-2023,5
EMP0164,09-08-2023,4
EMP0408,10-08-2023,5
EMP0423,11-08-2023,3
EMP0287,12-08-2023,4
EMP0039,13-08-2023,5
EMP0144,14-08-2023,4
EMP0393,15-08-2023,1
EMP0445,16-08-2023,1
EMP0080,17-08-2023,5
EMP0017,18-08-2023,2
EMP0123,19-08-2023,3
EMP0041,20-08-2023,5
EMP0458,21-08-2023,3
EMP0011,22-08-2023,5
EMP0481,23-08-2023,5
EMP0193,24-08-2023,5
EMP0416,25-08-2023,3
EMP0408,26-08-2023,5
EMP0168,27-08-2023,5
EMP0220,28-08-2023,1
EMP0297,29-08-2023,4
EMP0276,30-08-2023,5
EMP0299,31-08-2023,5
EMP0438,01-09-2023,5
EMP0101,02-09-2023,4
EMP0176,03-09-2023,1
EMP0026,04-09-2023,5
EMP0170,05-09-2023,3
EMP0018,06-09-2023,1
EMP0095,07-09-2023,5
EMP0286,08-09-2023,5
EMP0024,09-09-2023,5
EMP0439,10-09-2023,5
EMP0218,11-09-2023,3
EMP0247,12-09-2023,4
EMP0472,13-09-2023,2
EMP0319,14-09-2023,2
EMP0041,15-09-2023,1
EMP0155,16-09-2023,1
EMP0058,17-09-2023,4
EMP0341,18-09-2023,5
EMP0381,19-09-2023,5
EMP0040,20-09-2023,5
EMP0497,21-09-2023,2
EMP0234,22-09-2023,1
EMP0200,23-09-2023,5
EMP0022,24-09-2023,5
EMP0231,25-09-2023,5
EMP0329,26-09-2023,1
EMP0239,27-09-2023,5
EMP0360,28-09-2023,1
EMP0278,29-09-2023,3
EMP0086,30-09-2023,4
EMP0429,01-10-2023,5
EMP0161,02-10-2023,1
EMP0402,03-10-2023,2
EMP0164,04-10-2023,3
EMP0039,05-10-2023,5
EMP0446,06-10-2023,4
EMP0304,07-10-2023,4
EMP0498,08-10-2023,5
EMP0345,09-10-2023,5
EMP0475,10-10-2023,5
EMP0294,11-10-2023,2
EMP0299,12-10-2023,5
EMP0175,13-10-2023,4
EMP0270,14-10-2023,4
EMP0332,15-10-2023,5
EMP0073,16-10-2023,5
EMP0423,17-10-2023,5
EMP0393,18-10-2023,3
EMP0112,19-10-2023,1
EMP0068,20-10-2023,5
EMP0274,21-10-2023,5
EMP0143,22-10-2023,1
EMP0252,23-10-2023,5
EMP0163,24-10-2023,2
EMP0259,25-10-2023,4
EMP0373,26-10-2023,4
EMP0084,27-10-2023,4
EMP0399,28-10-2023,5
EMP0188,29-10-2023,1
EMP0500,30-10-2023,5
EMP0385,31-10-2023,2
EMP0320,01-11-2023,4
EMP0073,02-11-2023,5
EMP0389,03-11-2023,4
EMP0262,04-11-2023,4
EMP0320,05-11-2023,3
EMP0382,06-11-2023,4
EMP0006,07-11-2023,3
EMP0272,08-11-2023,1
EMP0437,09-11-2023,3
EMP0290,10-11-2023,4
EMP0071,11-11-2023,4
EMP0445,12-11-2023,5
EMP0447,13-11-2023,4
EMP0293,14-11-2023,4
EMP0252,15-11-2023,5
EMP0026,16-11-2023,4
EMP0463,17-11-2023,3
EMP0109,18-11-2023,4
EMP0363,19-11-2023,1
EMP0480,20-11-2023,5
EMP0056,21-11-2023,1
EMP0236,22-11-2023,5
EMP0259,23-11-2023,5
EMP0316,24-11-2023,2
EMP0138,25-11-2023,3
EMP0138,26-11-2023,4
EMP0416,27-11-2023,3
EMP0273,28-11-2023,1
EMP0391,29-11-2023,2
EMP0362,30-11-2023,5
EMP0378,01-12-2023,5
EMP0203,02-12-2023,5
EMP0247,03-12-2023,3
EMP0272,04-12-2023,1
EMP0115,05-12-2023,1
EMP0347,06-12-2023,2
EMP0242,07-12-2023,5
EMP0300,08-12-2023,3
EMP0092,09-12-2023,3
EMP0005,10-12-2023,3
EMP0438,11-12-2023,1
EMP0416,12-12-2023,5
EMP0173,13-12-2023,1
EMP0066,14-12-2023,1
EMP0306,15-12-2023,2
EMP0006,16-12-2023,1
EMP0468,17-12-2023,5
EMP0406,18-12-2023,5
EMP0277,19-12-2023,3
EMP0076,20-12-2023,3
EMP0190,21-12-2023,3
EMP0200,22-12-2023,2
EMP0316,23-12-2023,5
EMP0318,24-12-2023,3
EMP0403,25-12-2023,2
EMP0188,26-12-2023,3
EMP0048,27-12-2023,4
EMP0421,28-12-2023,4
EMP0132,29-12-2023,4
EMP0003,30-12-2023,1
EMP0199,31-12-2023,5
EMP0461,01-01-2024,2
EMP0226,02-01-2024,4
EMP0491,03-01-2024,5
EMP0031,04-01-2024,1
EMP0430,05-01-2024,5
EMP0397,06-01-2024,1
EMP0407,07-01-2024,5
EMP0234,08-01-2024,2
EMP0082,09-01-2024,1
EMP0397,10-01-2024,5
EMP0480,11-01-2024,1
EMP0334,12-01-2024,2
EMP0406,13-01-2024,3
EMP0017,14-01-2024,5
EMP0444,15-01-2024,2
EMP0051,16-01-2024,5
EMP0210,17-01-2024,5
EMP0355,18-01-2024,4
EMP0073,19-01-2024,1
EMP0318,20-01-2024,3
EMP0446,21-01-2024,4
EMP0345,22-01-2024,2
EMP0038,23-01-2024,5
EMP0215,24-01-2024,2
EMP0285,25-01-2024,4
EMP0040,26-01-2024,4
EMP0019,27-01-2024,3
EMP0462,28-01-2024,4
EMP0334,29-01-2024,5
EMP0161,30-01-2024,5
EMP0437,31-01-2024,1
EMP0214,01-02-2024,4
EMP0473,02-02-2024,1
EMP0310,03-02-2024,1
EMP0493,04-02-2024,5
EMP0448,05-02-2024,4
EMP0488,06-02-2024,1
EMP0225,07-02-2024,5
EMP0118,08-02-2024,3
EMP0043,09-02-2024,2
EMP0097,10-02-2024,3
EMP0003,11-02-2024,3
EMP0078,12-02-2024,5
EMP0270,13-02-2024,3
EMP0103,14-02-2024,2
EMP0296,15-02-2024,3
EMP0128,16-02-2024,5
EMP0320,17-02-2024,1
EMP0105,18-02-2024,4
EMP0004,19-02-2024,4
EMP0044,20-02-2024,5
EMP0227,21-02-2024,3
EMP0281,22-02-2024,4
EMP0136,23-02-2024,1
EMP0393,24-02-2024,4
EMP0023,25-02-2024,2
EMP0361,26-02-2024,5
EMP0269,27-02-2024,1
EMP0161,28-02-2024,4
EMP0490,29-02-2024,1
EMP0012,01-03-2024,5
EMP0397,02-03-2024,1
EMP0180,03-03-2024,5
EMP0389,04-03-2024,1
EMP0493,05-03-2024,2
EMP0465,06-03-2024,2
EMP0412,07-03-2024,2
EMP0354,08-03-2024,5
EMP0221,09-03-2024,5
EMP0394,10-03-2024,2
EMP0446,11-03-2024,2
EMP0108,12-03-2024,5
EMP0394,13-03-2024,5
EMP0091,14-03-2024,4
EMP0334,15-03-2024,5
EMP0114,16-03-2024,3
EMP0090,17-03-2024,4
EMP0010,18-03-2024,4
EMP0258,19-03-2024,4
EMP0246,20-03-2024,1
EMP0474,21-03-2024,5
EMP0473,22-03-2024,1
EMP0292,23-03-2024,5
EMP0438,24-03-2024,5
EMP0135,25-03-2024,3
EMP0033,26-03-2024,4
EMP0423,27-03-2024,1
EMP0424,28-03-2024,3
EMP0190,29-03-2024,2
EMP0200,30-03-2024,4
EMP0288,31-03-2024,5
EMP0438,01-04-2024,1
EMP0324,02-04-2024,3
EMP0148,03-04-2024,4
EMP0306,04-04-2024,1
EMP0168,05-04-2024,4
EMP0006,06-04-2024,5
EMP0078,07-04-2024,2
EMP0444,08-04-2024,3
EMP0144,09-04-2024,5
EMP0019,10-04-2024,2
EMP0041,11-04-2024,5
EMP0114,12-04-2024,5
EMP0169,13-04-2024,3
EMP0125,14-04-2024,4
EMP0350,15-04-2024,5
EMP0455,16-04-2024,3
EMP0327,17-04-2024,5
EMP0057,18-04-2024,5
EMP0156,19-04-2024,1
EMP0036,20-04-2024,2
EMP0250,21-04-2024,1
EMP0302,22-04-2024,1
EMP0247,23-04-2024,5
EMP0247,24-04-2024,5
EMP0343,25-04-2024,5
EMP0357,26-04-2024,3
EMP0384,27-04-2024,5
EMP0190,28-04-2024,2
EMP0389,29-04-2024,3
EMP0130,30-04-2024,4
EMP0351,01-05-2024,4
EMP0208,02-05-2024,5
EMP0008,03-05-2024,4
EMP0108,04-05-2024,4
EMP0259,05-05-2024,4
EMP0184,06-05-2024,2
EMP0011,07-05-2024,2
EMP0187,08-05-2024,5
EMP0090,09-05-2024,5
EMP0154,10-05-2024,5
EMP0262,11-05-2024,3
EMP0366,12-05-2024,5
EMP0203,13-05-2024,4
EMP0013,14-05-2024,2
